post_id,created_dt,score,stage_a_target,stage_a_pred,stage_a_residual
1okvjek,2025-10-31 14:06:08+00:00,33199,6.800150425862148,2.7096313678089206,4.090519058053227
1ojbymi,2025-10-29 18:09:14+00:00,36206,6.10525594068625,2.2766362195996255,3.828619721086625
1olonnr,2025-11-01 14:04:53+00:00,8322,6.460760413527799,2.6749169119670904,3.785843501560709
1okso7z,2025-10-31 12:02:39+00:00,27421,6.555135066747757,2.7753565175282633,3.7797785492194933
1olhbv9,2025-11-01 06:58:07+00:00,6508,5.780897880519482,2.1483232870758218,3.63257459344366
1ojeiho,2025-10-29 19:44:51+00:00,21557,5.608053213315668,2.3234631106302057,3.2845901026854625
1og6r77,2025-10-26 00:13:40+00:00,30079,5.17624916228348,1.897462830593491,3.2787863316899895
1oh13rv,2025-10-27 00:53:58+00:00,31599,5.380421499527211,2.1563555054228987,3.224065994104312
1okwpb8,2025-10-31 14:52:10+00:00,13463,5.920097120686037,2.7933679925935464,3.126729128092491
1oj6k8q,2025-10-29 14:49:15+00:00,21086,5.526052248693526,2.5184026800694346,3.0076495686240916
